Date,High,Low,Open,Close,Volume,Adj Close
2021-02-26,4.880000114440918,4.71999979019165,4.800000190734863,4.71999979019165,54907102,4.71999979019165
2021-03-01,4.840000152587891,4.71999979019165,4.739999771118164,4.769999980926514,35595989,4.769999980926514
2021-03-02,4.820000171661377,4.710000038146973,4.809999942779541,4.739999771118164,28357089,4.739999771118164
2021-03-03,4.960000038146973,4.710000038146973,4.730000019073486,4.920000076293945,55718792,4.920000076293945
2021-03-04,4.960000038146973,4.880000114440918,4.880000114440918,4.920000076293945,31703608,4.920000076293945
2021-03-05,4.920000076293945,4.789999961853027,4.889999866485596,4.880000114440918,32696180,4.880000114440918
2021-03-08,5.010000228881836,4.809999942779541,4.889999866485596,4.820000171661377,33740424,4.820000171661377
2021-03-09,5.070000171661377,4.829999923706055,4.889999866485596,5.0,91822666,5.0
2021-03-10,5.039999961853027,4.909999847412109,4.960000038146973,4.909999847412109,51619881,4.909999847412109
2021-03-11,5.090000152587891,4.920000076293945,4.940000057220459,5.019999980926514,63425351,5.019999980926514
2021-03-12,5.050000190734863,4.960000038146973,5.010000228881836,5.050000190734863,40364085,5.050000190734863
