Date,High,Low,Open,Close,Volume,Adj Close
2018-09-03,12.529999732971191,11.819999694824219,12.430000305175781,12.390000343322754,2429300.0,12.390000343322754
2018-09-04,12.569999694824219,12.380000114440918,12.399999618530273,12.5,1466729.0,12.5
2018-09-05,12.75,12.220000267028809,12.420000076293945,12.239999771118164,1566380.0,12.239999771118164
2018-09-06,12.390000343322754,12.079999923706055,12.300000190734863,12.1899995803833,1173500.0,12.1899995803833
2018-09-07,12.359999656677246,12.039999961853027,12.289999961853027,12.239999771118164,1214934.0,12.239999771118164
2018-09-10,12.34000015258789,12.020000457763672,12.239999771118164,12.130000114440918,1303100.0,12.130000114440918
2018-09-11,11.8100004196167,11.079999923706055,11.649999618530273,11.3100004196167,4246054.0,11.3100004196167
2018-09-12,11.430000305175781,11.239999771118164,11.239999771118164,11.3100004196167,1351285.0,11.3100004196167
2018-09-13,11.760000228881836,11.350000381469727,11.350000381469727,11.579999923706055,2035905.0,11.579999923706055
2018-09-14,11.739999771118164,11.399999618530273,11.539999961853027,11.40999984741211,1460610.0,11.40999984741211
2018-09-17,11.390000343322754,10.949999809265137,11.390000343322754,11.079999923706055,1401500.0,11.079999923706055
2018-09-18,11.260000228881836,10.859999656677246,11.100000381469727,11.239999771118164,1309671.0,11.239999771118164
2018-09-19,11.930000305175781,11.15999984741211,11.239999771118164,11.529999732971191,2922700.0,11.529999732971191
2018-09-20,11.710000038146973,11.40999984741211,11.460000038146973,11.470000267028809,2009200.0,11.470000267028809
2018-09-21,11.6899995803833,11.220000267028809,11.470000267028809,11.6899995803833,2605765.0,11.6899995803833
2018-09-25,11.670000076293945,11.420000076293945,11.600000381469727,11.550000190734863,1746800.0,11.550000190734863
2018-09-26,11.630000114440918,11.449999809265137,11.550000190734863,11.569999694824219,1492200.0,11.569999694824219
2018-09-27,12.0,11.399999618530273,11.510000228881836,11.539999961853027,3217110.0,11.539999961853027
2018-09-28,12.100000381469727,11.25,11.5,11.9399995803833,5123780.0,11.9399995803833
2018-10-08,13.130000114440918,11.600000381469727,11.649999618530273,13.130000114440918,10547589.0,13.130000114440918
2018-10-09,14.300000190734863,12.90999984741211,13.180000305175781,13.600000381469727,15689059.0,13.600000381469727
